Prompt,Hindi Translation,Code-Mixed (Hinglish),Intent,Context,Tags,Tamil Translation,Bengali Translation,Marathi Translation,Urdu Translation,Telugu Translation,valid_prompt,Symptom,Sentiment,Language
Is yoga good for period cramps?,क्या योग पीरियड ऐंठन के लिए अच्छा है?,Is yoga good for period cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",கால பிடிப்புகளுக்கு யோகா நல்லதா?,পিরিয়ড ক্র্যাম্পের জন্য যোগব্যায়াম কি ভাল?,योगा कालावधीच्या पेट्यांसाठी योग चांगला आहे का?,کیا یوگا مدت کے درد کے ل good اچھا ہے؟,పీరియడ్ తిమ్మిరి కోసం యోగా మంచిదా?,TRUE,headache,negative,Marathi
Should I avoid running during menstruation?,क्या मुझे मासिक धर्म के दौरान दौड़ने से बचना चाहिए?,Should I avoid running during menstruation ka kya solution hai?,exercise_guidance,general,general,மாதவிடாயின் போது நான் ஓடுவதைத் தவிர்க்க வேண்டுமா?,আমি stru তুস্রাবের সময় দৌড়াতে এড়ানো উচিত?,मी मासिक पाळी दरम्यान धावणे टाळावे?,کیا مجھے حیض کے دوران بھاگنے سے گریز کرنا چاہئے؟,నేను stru తుస్రావం సమయంలో పరిగెత్తకుండా ఉండాలా?,TRUE,anxiety,negative,Hinglish
Does stretching reduce period pain?,क्या स्ट्रेचिंग पीरियड दर्द को कम करता है?,Does stretching reduce period pain ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",நீட்டிப்பது கால வலியைக் குறைக்கிறதா?,প্রসারিত কি পিরিয়ড ব্যথা হ্রাস করে?,स्ट्रेचिंगमुळे कालावधी वेदना कमी होते?,کیا کھینچنے سے مدت میں درد کم ہوتا ہے؟,సాగదీయడం పీరియడ్ నొప్పిని తగ్గిస్తుందా?,TRUE,low energy,positive,Hindi
What exercises are best for PMS?,पीएमएस के लिए कौन से अभ्यास सबसे अच्छे हैं?,What exercises are best for PMS ka kya solution hai?,exercise_guidance,self-care,"coping, remedy, self-help",PMS க்கு என்ன பயிற்சிகள் சிறந்தவை?,পিএমএসের জন্য কোন অনুশীলনগুলি সবচেয়ে ভাল?,पीएमएससाठी कोणते व्यायाम सर्वोत्तम आहेत?,پی ایم ایس کے لئے کون سی مشقیں بہترین ہیں؟,PMS కి ఏ వ్యాయామాలు ఉత్తమమైనవి?,TRUE,headache,positive,Marathi
Can swimming help with cramps?,क्या तैराकी ऐंठन के साथ मदद कर सकता है?,Can swimming help with cramps ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",பிடிப்புகளுக்கு நீச்சல் உதவ முடியுமா?,সাঁতার কাটতে কি বাধা সাহায্য করতে পারে?,पेटके पेटण्यास मदत करू शकतात?,کیا تیراکی کے درد میں مدد مل سکتی ہے؟,తిమ్మిరితో ఈత సహాయం చేయగలదా?,TRUE,cramps,negative,Urdu
Is walking safe during heavy flow?,क्या भारी प्रवाह के दौरान सुरक्षित चलना है?,Is walking safe during heavy flow ka kya solution hai?,mental_wellness,period health,"menstruation, pain, symptom",கனமான ஓட்டத்தின் போது நடைபயிற்சி பாதுகாப்பாக இருக்கிறதா?,ভারী প্রবাহের সময় কি নিরাপদ হাঁটা নিরাপদ?,जड प्रवाहात चालणे सुरक्षित आहे का?,کیا بھاری بہاؤ کے دوران چلنا محفوظ ہے؟,భారీ ప్రవాహం సమయంలో నడక సురక్షితంగా ఉందా?,TRUE,bloating,negative,Tamil
Should I take rest or workout during periods?,क्या मुझे अवधि के दौरान आराम या कसरत करनी चाहिए?,Should I take rest or workout during periods ka kya solution hai?,exercise_guidance,general,general,காலங்களில் நான் ஓய்வு அல்லது வொர்க்அவுட்டை எடுக்க வேண்டுமா?,আমার কি পিরিয়ড চলাকালীন বিশ্রাম বা ওয়ার্কআউট নেওয়া উচিত?,मी कालावधी दरम्यान विश्रांती घ्यावी किंवा कसरत करावी?,کیا مجھے ادوار کے دوران آرام یا ورزش کرنا چاہئے؟,కాలాల్లో నేను విశ్రాంతి లేదా వ్యాయామం తీసుకోవాలా?,TRUE,bloating,negative,Marathi
Does physical activity affect cycle length?,क्या शारीरिक गतिविधि चक्र की लंबाई को प्रभावित करती है?,Does physical activity affect cycle length ka kya solution hai?,exercise_guidance,general,general,உடல் செயல்பாடு சுழற்சி நீளத்தை பாதிக்கிறதா?,শারীরিক ক্রিয়াকলাপ কি চক্রের দৈর্ঘ্যকে প্রভাবিত করে?,शारीरिक क्रियाकलाप चक्र लांबीवर परिणाम करते?,کیا جسمانی سرگرمی سائیکل کی لمبائی کو متاثر کرتی ہے؟,శారీరక శ్రమ చక్రం పొడవును ప్రభావితం చేస్తుందా?,TRUE,fatigue,neutral,Hinglish
Can dancing help relieve PMS symptoms?,क्या नृत्य पीएमएस लक्षणों को राहत देने में मदद कर सकता है?,Can dancing help relieve PMS symptoms ka kya solution hai?,mental_wellness,general,general,நடனம் பி.எம்.எஸ் அறிகுறிகளை அகற்ற உதவ முடியுமா?,নাচ কি পিএমএসের লক্ষণগুলি উপশম করতে সহায়তা করতে পারে?,नृत्य पीएमएस लक्षणे कमी करण्यास मदत करू शकते?,کیا رقص پی ایم ایس علامات کو دور کرنے میں مدد کرسکتا ہے؟,PMS లక్షణాల నుండి ఉపశమనం పొందటానికి డ్యాన్స్ సహాయపడుతుందా?,TRUE,anxiety,neutral,Hindi
Can I get pregnant on my period?,क्या मैं अपनी अवधि में गर्भवती हो सकती हूं?,Can I get pregnant on my period ka kya solution hai?,myth_busting,general,general,எனது காலகட்டத்தில் நான் கர்ப்பமாக இருக்க முடியுமா?,আমি কি আমার পিরিয়ডে গর্ভবতী হতে পারি?,मी माझ्या कालावधीत गर्भवती होऊ शकतो?,کیا میں اپنی مدت پر حاملہ ہوسکتا ہوں؟,నా వ్యవధిలో నేను గర్భవతి కాగలనా?,TRUE,bloating,neutral,Urdu
Do periods sync with the moon?,क्या अवधि चंद्रमा के साथ सिंक करती है?,Do periods sync with the moon ka kya solution hai?,myth_busting,general,general,காலங்கள் சந்திரனுடன் ஒத்திசைக்கிறதா?,পিরিয়ডগুলি কি চাঁদের সাথে সিঙ্ক করে?,कालावधी चंद्राशी संकालित करतात?,کیا مدت چاند کے ساتھ ہم آہنگ ہے؟,కాలాలు చంద్రునితో సమకాలీకరిస్తాయా?,TRUE,low energy,negative,Urdu
Is period blood dirty?,क्या पीरियड ब्लड गंदा है?,Is period blood dirty ka kya solution hai?,myth_busting,general,general,காலம் இரத்தம் அழுக்காக இருக்கிறதா?,পিরিয়ড রক্ত কি নোংরা?,कालावधी रक्त गलिच्छ आहे?,کیا مدت خون گندا ہے؟,కాలం రక్తం మురికిగా ఉందా?,TRUE,headache,positive,English
Can tampons take away virginity?,क्या टैम्पोन वर्जिनिटी ले सकते हैं?,Can tampons take away virginity ka kya solution hai?,myth_busting,general,general,டம்பான்கள் கன்னித்தன்மையை பறிக்க முடியுமா?,ট্যাম্পনরা কি কুমারীত্ব কেড়ে নিতে পারে?,टॅम्पन्स कौमार्य काढून घेऊ शकतात?,کیا ٹیمپون کنواری کو دور کرسکتے ہیں؟,టాంపోన్లు కన్యత్వాన్ని తీసివేయగలరా?,TRUE,low energy,neutral,Telugu
Should I not go to temples during periods?,क्या मुझे अवधि के दौरान मंदिरों में नहीं जाना चाहिए?,Should I not go to temples during periods ka kya solution hai?,mental_wellness,general,general,காலங்களில் நான் கோயில்களுக்கு செல்ல வேண்டாமா?,আমার কি পিরিয়ড চলাকালীন মন্দিরে যাওয়া উচিত নয়?,मी कालखंडात मंदिरात जाऊ नये?,کیا مجھے ادوار کے دوران مندروں میں نہیں جانا چاہئے؟,కాలాల్లో నేను దేవాలయాలకు వెళ్లకూడదా?,TRUE,mood swings,neutral,Hinglish
Does eating sour food stop periods?,क्या खट्टा खाना खाने से अवधि होती है?,Does eating sour food stop periods ka kya solution hai?,diet_advice,general,general,புளிப்பு உணவு சாப்பிடுவது காலங்களை நிறுத்துமா?,টক খাবার খাওয়া কি পিরিয়ড স্টপ পিরিয়ড?,आंबट अन्न खाणे कालावधी थांबवते?,کیا کھٹا کھانا کھاتا ہے ادوار؟,పుల్లని ఫుడ్ తినడం పీరియడ్ అవుతుందా?,TRUE,bloating,neutral,Tamil
Are irregular periods always a sign of illness?,क्या अनियमित अवधि हमेशा बीमारी का संकेत देती है?,Are irregular periods always a sign of illness ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",ஒழுங்கற்ற காலங்கள் எப்போதும் நோயின் அடையாளமா?,অনিয়মিত সময়কাল কি সবসময় অসুস্থতার লক্ষণ?,अनियमित कालावधी नेहमीच आजाराचे लक्षण असतात?,کیا فاسد ادوار ہمیشہ بیماری کی علامت ہیں؟,సక్రమంగా లేని కాలాలు ఎల్లప్పుడూ అనారోగ్యానికి సంకేతంగా ఉన్నాయా?,TRUE,anxiety,positive,English
Can bathing delay periods?,क्या स्नान में देरी की अवधि हो सकती है?,Can bathing delay periods ka kya solution hai?,mental_wellness,general,general,குளியல் தாமத காலங்கள் முடியுமா?,স্নানের বিলম্বের সময়কাল কি পারে?,आंघोळीसाठी विलंब कालावधी?,کیا نہانے میں تاخیر ہوسکتی ہے؟,స్నానం చేసే ఆలస్యం కాలాలు?,TRUE,acne,positive,Hinglish
Is it bad to talk about periods openly?,क्या खुले तौर पर अवधि के बारे में बात करना बुरा है?,Is it bad to talk about periods openly ka kya solution hai?,mental_wellness,general,general,காலங்களைப் பற்றி வெளிப்படையாகப் பேசுவது மோசமானதா?,পিরিয়ড সম্পর্কে খোলামেলা কথা বলা কি খারাপ?,पूर्णविरामांविषयी बोलणे वाईट आहे का?,کیا ادوار کے بارے میں کھل کر بات کرنا برا ہے؟,కాలాల గురించి బహిరంగంగా మాట్లాడటం చెడ్డదా?,TRUE,bloating,negative,Urdu
Does using a pad overnight cause infections?,क्या रात भर पैड का उपयोग करने से संक्रमण होता है?,Does using a pad overnight cause infections ka kya solution hai?,mental_wellness,general,general,ஒரே இரவில் ஒரு திண்டு பயன்படுத்துவது தொற்றுநோய்களை ஏற்படுத்துமா?,রাতারাতি প্যাড ব্যবহার করে কি সংক্রমণের কারণ হয়?,रात्रभर पॅड वापरल्याने संसर्ग होतो?,کیا راتوں رات پیڈ کا استعمال انفیکشن کا سبب بنتا ہے؟,పాడ్ రాత్రిపూట ఉపయోగించడం వల్ల అంటువ్యాధులు కారణమవుతాయా?,TRUE,stress,neutral,Tamil
My period cramps are really painful this month; what can I do to feel better?,मेरी पीरियड ऐंठन इस महीने वास्तव में दर्दनाक है; मैं बेहतर महसूस करने के लिए क्या कर सकता हूं?,My period cramps are really painful this month; what can I do to feel better ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",எனது கால பிடிப்புகள் இந்த மாதத்தில் மிகவும் வேதனையானவை; நன்றாக உணர நான் என்ன செய்ய முடியும்?,আমার পিরিয়ড ক্র্যাম্পগুলি এই মাসে সত্যিই বেদনাদায়ক; আমি আরও ভাল অনুভব করতে কি করতে পারি?,या महिन्यात माझे कालावधी पेटके खरोखर वेदनादायक आहेत; चांगले वाटण्यासाठी मी काय करू शकतो?,اس مہینے میں میرے دورانیے کے درد واقعی تکلیف دہ ہیں۔ میں بہتر محسوس کرنے کے لئے کیا کرسکتا ہوں؟,నా కాలం తిమ్మిరి ఈ నెలలో నిజంగా బాధాకరంగా ఉంది; మంచి అనుభూతి చెందడానికి నేను ఏమి చేయగలను?,TRUE,stress,neutral,Telugu
I'm getting intense lower back pain during my period; is that normal and how can I relieve it?,मुझे अपनी अवधि के दौरान तीव्र कम पीठ दर्द हो रहा है; क्या यह सामान्य है और मैं इसे कैसे राहत दे सकता हूं?,I'm getting intense lower back pain during my period; is that normal and how can I relieve it ka kya solution hai?,symptom_query,general,general,"எனது காலகட்டத்தில் நான் தீவிரமான குறைந்த முதுகுவலியைப் பெறுகிறேன்; அது சாதாரணமா, அதை நான் எவ்வாறு நீக்க முடியும்?",আমি আমার পিরিয়ডে তীব্র নিম্ন পিঠে ব্যথা পাচ্ছি; এটি কি স্বাভাবিক এবং আমি কীভাবে এটি মুক্তি দিতে পারি?,माझ्या कालावधीत मला कमी पाठदुखीचा त्रास होत आहे; ते सामान्य आहे आणि मी ते कसे मुक्त करू शकतो?,میں اپنی مدت کے دوران کمر کی شدید درد ہو رہا ہوں۔ کیا یہ معمول ہے اور میں اسے کیسے فارغ کرسکتا ہوں؟,నా కాలంలో నేను తక్కువ వెన్నునొప్పిని పొందుతున్నాను; అది సాధారణమా మరియు నేను దాన్ని ఎలా ఉపశమనం చేయగలను?,TRUE,anxiety,neutral,Telugu
"I have very heavy bleeding every month; is this normal, and what should I do about it?","मुझे हर महीने बहुत भारी रक्तस्राव होता है; क्या यह सामान्य है, और मुझे इसके बारे में क्या करना चाहिए?","I have very heavy bleeding every month; is this normal, and what should I do about it ka kya solution hai?",symptom_query,general,general,"ஒவ்வொரு மாதமும் எனக்கு மிகவும் கனமான இரத்தப்போக்கு உள்ளது; இது இயல்பானதா, இதைப் பற்றி நான் என்ன செய்ய வேண்டும்?","প্রতি মাসে আমার খুব ভারী রক্তপাত হয়; এটি কি স্বাভাবিক, এবং এটি সম্পর্কে আমার কী করা উচিত?",मला दरमहा खूप जास्त रक्तस्त्राव होतो; हे सामान्य आहे आणि मी त्याबद्दल काय करावे?,مجھے ہر مہینے بہت زیادہ خون بہہ رہا ہے۔ کیا یہ معمول ہے ، اور مجھے اس کے بارے میں کیا کرنا چاہئے؟,"నాకు ప్రతి నెలా చాలా భారీ రక్తస్రావం ఉంటుంది; ఇది సాధారణమే, దాని గురించి నేను ఏమి చేయాలి?",TRUE,low energy,negative,English
I feel extremely tired and low on energy during my period; how can I boost my energy levels?,मैं अपनी अवधि के दौरान ऊर्जा पर बेहद थका हुआ और कम महसूस करता हूं; मैं अपनी ऊर्जा के स्तर को कैसे बढ़ा सकता हूं?,I feel extremely tired and low on energy during my period; how can I boost my energy levels ka kya solution hai?,mental_wellness,general,general,எனது காலகட்டத்தில் நான் மிகவும் சோர்வாகவும் ஆற்றலைக் குறைவாகவும் உணர்கிறேன்; எனது ஆற்றல் அளவை எவ்வாறு அதிகரிக்க முடியும்?,আমি আমার সময়কালে অত্যন্ত ক্লান্ত এবং শক্তিতে কম বোধ করি; আমি কীভাবে আমার শক্তির মাত্রা বাড়িয়ে তুলতে পারি?,मी माझ्या कालावधीत अत्यंत थकल्यासारखे आणि उर्जा कमी वाटते; मी माझ्या उर्जा पातळीला कसे चालना देऊ?,میں اپنی مدت کے دوران انتہائی تھکا ہوا اور کم توانائی محسوس کرتا ہوں۔ میں اپنی توانائی کی سطح کو کس طرح بڑھا سکتا ہوں؟,నా కాలంలో నేను చాలా అలసటతో మరియు శక్తి తక్కువగా ఉన్నాను; నా శక్తి స్థాయిలను ఎలా పెంచగలను?,TRUE,cramps,negative,Tamil
I'm experiencing intense bloating and fatigue before my period; why is this happening and what can I do?,मैं अपनी अवधि से पहले तीव्र सूजन और थकान का अनुभव कर रहा हूं; ऐसा क्यों हो रहा है और मैं क्या कर सकता हूं?,I'm experiencing intense bloating and fatigue before my period; why is this happening and what can I do ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom","எனது காலத்திற்கு முன்பே தீவிர வீக்கம் மற்றும் சோர்வு ஆகியவற்றை நான் அனுபவிக்கிறேன்; இது ஏன் நடக்கிறது, நான் என்ன செய்ய முடியும்?",আমি আমার পিরিয়ডের আগে তীব্র ফোলাভাব এবং ক্লান্তি অনুভব করছি; কেন এটি ঘটছে এবং আমি কী করতে পারি?,मी माझ्या कालावधीपूर्वी तीव्र फुगलेला आणि थकवा अनुभवत आहे; हे का होत आहे आणि मी काय करू शकतो?,میں اپنی مدت سے پہلے شدید پھولنے اور تھکاوٹ کا سامنا کر رہا ہوں۔ یہ کیوں ہو رہا ہے اور میں کیا کرسکتا ہوں؟,నేను నా కాలానికి ముందు తీవ్రమైన ఉబ్బరం మరియు అలసటను అనుభవిస్తున్నాను; ఇది ఎందుకు జరుగుతోంది మరియు నేను ఏమి చేయగలను?,TRUE,anxiety,negative,Telugu
I'm seeing a lot of dark blood clots in my menstrual flow; should I worry and what does it mean?,मैं अपने मासिक धर्म के प्रवाह में बहुत सारे गहरे रक्त के थक्के देख रहा हूं; क्या मुझे चिंता करनी चाहिए और इसका क्या मतलब है?,I'm seeing a lot of dark blood clots in my menstrual flow; should I worry and what does it mean ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom","என் மாதவிடாய் ஓட்டத்தில் நிறைய இருண்ட இரத்த உறைவுகளை நான் காண்கிறேன்; நான் கவலைப்பட வேண்டுமா, அதன் அர்த்தம் என்ன?",আমি আমার stru তুস্রাবের প্রবাহে প্রচুর গা dark ় রক্তের জমাট দেখছি; আমার চিন্তা করা উচিত এবং এর অর্থ কী?,मी माझ्या मासिक पाळीमध्ये बर्‍याच गडद रक्ताच्या गुठळ्या पहात आहे; मी काळजी करावी आणि याचा अर्थ काय?,میں اپنے ماہواری کے بہاؤ میں خون کے بہت سارے جمنے دیکھ رہا ہوں۔ مجھے پریشان ہونا چاہئے اور اس کا کیا مطلب ہے؟,నా stru తు ప్రవాహంలో నేను చాలా చీకటి రక్తం గడ్డకట్టడం చూస్తున్నాను; నేను ఆందోళన చెందాలా మరియు దాని అర్థం ఏమిటి?,TRUE,low energy,positive,Tamil
I feel nauseous and have headaches on the first day of my period; is that normal and how can I manage it?,मैं मिचली महसूस करता हूं और मेरी अवधि के पहले दिन सिरदर्द होता है; क्या यह सामान्य है और मैं इसे कैसे प्रबंधित कर सकता हूं?,I feel nauseous and have headaches on the first day of my period; is that normal and how can I manage it ka kya solution hai?,symptom_query,general,general,"நான் குமட்டல் உணர்கிறேன், எனது காலத்தின் முதல் நாளில் தலைவலி இருக்கிறது; அது இயல்பானதா, அதை நான் எவ்வாறு நிர்வகிக்க முடியும்?",আমি বমি বমি ভাব বোধ করি এবং আমার পিরিয়ডের প্রথম দিনে মাথা ব্যথা করি; এটি কি স্বাভাবিক এবং আমি কীভাবে এটি পরিচালনা করতে পারি?,माझ्या कालावधीच्या पहिल्या दिवशी मला मळमळ वाटते आणि डोकेदुखी आहे; ते सामान्य आहे आणि मी ते कसे व्यवस्थापित करू शकतो?,میں متلی محسوس کرتا ہوں اور اپنے دور کے پہلے دن سر درد کرتا ہوں۔ کیا یہ معمول ہے اور میں اس کا انتظام کیسے کرسکتا ہوں؟,నా కాలం మొదటి రోజున నేను వికారం అనుభూతి చెందుతున్నాను మరియు తలనొప్పిని కలిగి ఉన్నాను; అది సాధారణమా మరియు నేను దానిని ఎలా నిర్వహించగలను?,TRUE,anxiety,positive,English
My breasts are really tender and swollen before my period; how can I relieve this discomfort?,मेरे स्तन वास्तव में मेरी अवधि से पहले कोमल और सूज गए हैं; मैं इस असुविधा को कैसे राहत दे सकता हूं?,My breasts are really tender and swollen before my period; how can I relieve this discomfort ka kya solution hai?,symptom_query,general,general,என் மார்பகங்கள் என் காலத்திற்கு முன்பே மென்மையாகவும் வீங்கியதாகவும் இருக்கும்; இந்த அச om கரியத்தை நான் எவ்வாறு நீக்க முடியும்?,আমার স্তনগুলি আমার পিরিয়ডের আগে সত্যই কোমল এবং ফুলে গেছে; আমি কীভাবে এই অস্বস্তি থেকে মুক্তি দিতে পারি?,माझे स्तन माझ्या कालावधीपूर्वी खरोखर कोमल आणि सूजलेले आहेत; मी ही अस्वस्थता कशी दूर करू शकतो?,میرے چھاتی واقعی میرے دور سے پہلے ہی ٹینڈر اور سوجن ہیں۔ میں اس تکلیف کو کیسے دور کرسکتا ہوں؟,నా వక్షోజాలు నిజంగా మృదువైనవి మరియు నా కాలానికి ముందు వాపుతో ఉంటాయి; నేను ఈ అసౌకర్యాన్ని ఎలా ఉపశమనం చేయగలను?,TRUE,acne,neutral,English
What foods or drinks can help reduce my menstrual cramps and bloating?,क्या खाद्य पदार्थ या पेय मेरे मासिक धर्म की ऐंठन और सूजन को कम करने में मदद कर सकते हैं?,What foods or drinks can help reduce my menstrual cramps and bloating ka kya solution hai?,symptom_query,period health,"menstruation, pain, symptom",எனது மாதவிடாய் பிடிப்புகளையும் வீக்கத்தையும் குறைக்க என்ன உணவுகள் அல்லது பானங்கள் உதவும்?,কোন খাবার বা পানীয়গুলি আমার stru তুস্রাবের বাধা এবং ফুলে যাওয়া হ্রাস করতে সহায়তা করতে পারে?,माझे मासिक पाळी आणि सूज कमी होण्यास कोणते पदार्थ किंवा पेय मदत करू शकतात?,کون سے کھانے پینے سے میرے ماہواری کے درد اور پھولنے میں مدد مل سکتی ہے؟,నా stru తు తిమ్మిరిని తగ్గించడానికి మరియు ఉబ్బరం చేయడానికి ఏ ఆహారాలు లేదా పానీయాలు సహాయపడతాయి?,TRUE,acne,neutral,Tamil
"I often crave sweets and carbs before my period; is that normal, and how can I manage those cravings in a healthy way?","मैं अक्सर अपनी अवधि से पहले मिठाई और कार्ब्स को तरसता हूं; क्या यह सामान्य है, और मैं उन cravings को स्वस्थ तरीके से कैसे प्रबंधित कर सकता हूं?","I often crave sweets and carbs before my period; is that normal, and how can I manage those cravings in a healthy way ka kya solution hai?",diet_advice,general,general,"எனது காலத்திற்கு முன்பே நான் அடிக்கடி இனிப்புகள் மற்றும் கார்ப்ஸை விரும்புகிறேன்; அது இயல்பானதா, அந்த ஏக்கங்களை ஆரோக்கியமான வழியில் எவ்வாறு நிர்வகிக்க முடியும்?","আমি প্রায়শই আমার পিরিয়ডের আগে মিষ্টি এবং কার্বস কামনা করি; এটি কি স্বাভাবিক, এবং আমি কীভাবে এই অভিলাষগুলি একটি স্বাস্থ্যকর উপায়ে পরিচালনা করতে পারি?",मी माझ्या कालावधीपूर्वी बर्‍याचदा मिठाई आणि कार्बची इच्छा बाळगतो; ते सामान्य आहे आणि मी त्या वासना निरोगी मार्गाने कसे व्यवस्थापित करू?,میں اکثر اپنی مدت سے پہلے ہی مٹھائیاں اور کاربس کی خواہش کرتا ہوں۔ کیا یہ معمول ہے ، اور میں ان خواہشات کو صحت مند طریقے سے کیسے سنبھال سکتا ہوں؟,"నా కాలానికి ముందు నేను తరచుగా స్వీట్లు మరియు పిండి పదార్థాలను కోరుకుంటాను; ఇది సాధారణమే, నేను ఆ కోరికలను ఆరోగ్యకరమైన రీతిలో ఎలా నిర్వహించగలను?",TRUE,acne,neutral,English
"What vitamins or nutrients can help with PMS symptoms, and which foods are rich in them?","पीएमएस के लक्षणों के साथ कौन से विटामिन या पोषक तत्व मदद कर सकते हैं, और कौन से खाद्य पदार्थ उनमें समृद्ध हैं?","What vitamins or nutrients can help with PMS symptoms, and which foods are rich in them ka kya solution hai?",diet_advice,general,general,"பி.எம்.எஸ் அறிகுறிகளுக்கு என்ன வைட்டமின்கள் அல்லது ஊட்டச்சத்துக்கள் உதவக்கூடும், அவற்றில் எந்த உணவுகள் நிறைந்துள்ளன?",কোন ভিটামিন বা পুষ্টিগুলি পিএমএসের লক্ষণগুলিতে সহায়তা করতে পারে এবং কোন খাবারগুলিতে সমৃদ্ধ?,पीएमएसच्या लक्षणांमध्ये कोणते जीवनसत्त्वे किंवा पोषक मदत करू शकतात आणि कोणते पदार्थ त्यामध्ये समृद्ध आहेत?,کون سے وٹامن یا غذائی اجزاء پی ایم ایس علامات میں مدد کرسکتے ہیں ، اور ان میں کون سے کھانے پینے کی چیزیں ہیں؟,ఏ విటమిన్లు లేదా పోషకాలు పిఎంఎస్ లక్షణాలకు సహాయపడతాయి మరియు వాటిలో ఏ ఆహారాలు గొప్పవి?,TRUE,cramps,positive,Urdu
I'm feeling really low on energy during my period; how should I adjust my diet to keep my energy up?,मैं अपनी अवधि के दौरान ऊर्जा पर वास्तव में कम महसूस कर रहा हूं; अपनी ऊर्जा को बनाए रखने के लिए मुझे अपने आहार को कैसे समायोजित करना चाहिए?,I'm feeling really low on energy during my period; how should I adjust my diet to keep my energy up ka kya solution hai?,mental_wellness,self-care,"coping, remedy, self-help",எனது காலகட்டத்தில் நான் ஆற்றலில் மிகவும் குறைவாக உணர்கிறேன்; எனது ஆற்றலை வைத்திருக்க எனது உணவை எவ்வாறு சரிசெய்ய வேண்டும்?,আমি আমার সময়কালে শক্তিতে সত্যিই কম বোধ করছি; আমার শক্তি বজায় রাখতে আমার ডায়েট কীভাবে সামঞ্জস্য করা উচিত?,माझ्या काळात मी उर्जेवर खरोखरच कमी जाणवत आहे; माझी उर्जा टिकवून ठेवण्यासाठी मी माझा आहार कसा समायोजित करावा?,میں اپنی مدت کے دوران واقعی کم توانائی محسوس کر رہا ہوں۔ اپنی توانائی کو برقرار رکھنے کے لئے مجھے اپنی غذا کو کس طرح ایڈجسٹ کرنا چاہئے؟,నా కాలంలో నేను శక్తిపై చాలా తక్కువగా ఉన్నాను; నా శక్తిని పెంచడానికి నా ఆహారాన్ని ఎలా సర్దుబాటు చేయాలి?,TRUE,stress,neutral,Telugu
"Which foods or drinks might make my period symptoms worse, and should I avoid them?","कौन से खाद्य पदार्थ या पेय मेरे पीरियड के लक्षणों को बदतर बना सकते हैं, और क्या मुझे उनसे बचना चाहिए?","Which foods or drinks might make my period symptoms worse, and should I avoid them ka kya solution hai?",diet_advice,general,general,"எந்த உணவுகள் அல்லது பானங்கள் எனது கால அறிகுறிகளை மோசமாக்கும், அவற்றைத் தவிர்க்க வேண்டுமா?",কোন খাবার বা পানীয়গুলি আমার সময়ের লক্ষণগুলিকে আরও খারাপ করে তুলতে পারে এবং আমি সেগুলি এড়ানো উচিত?,कोणते पदार्थ किंवा पेय माझ्या कालावधीची लक्षणे अधिक खराब करू शकतात आणि मी त्या टाळल्या पाहिजेत?,کون سی کھانوں یا مشروبات سے میری مدت کی علامات خراب ہوسکتی ہیں ، اور کیا مجھے ان سے بچنا چاہئے؟,ఏ ఆహారాలు లేదా పానీయాలు నా కాల లక్షణాలను మరింత దిగజార్చవచ్చు మరియు నేను వాటిని నివారించాలా?,TRUE,anxiety,positive,Hinglish
I'm looking for herbal teas or natural remedies that can help me feel better during my period; any suggestions?,मैं हर्बल चाय या प्राकृतिक उपचार की तलाश कर रहा हूं जो मुझे अपनी अवधि के दौरान बेहतर महसूस करने में मदद कर सकता है; कोई सुझाव?,I'm looking for herbal teas or natural remedies that can help me feel better during my period; any suggestions ka kya solution hai?,mental_wellness,general,general,எனது காலகட்டத்தில் நன்றாக உணர உதவும் மூலிகை தேநீர் அல்லது இயற்கை வைத்தியங்களை நான் தேடுகிறேன்; ஏதேனும் பரிந்துரைகள்?,আমি ভেষজ চা বা প্রাকৃতিক প্রতিকারগুলি খুঁজছি যা আমার সময়কালে আমাকে আরও ভাল বোধ করতে সহায়তা করতে পারে; কোন পরামর্শ?,मी हर्बल टी किंवा नैसर्गिक उपाय शोधत आहे जे माझ्या काळात मला बरे वाटू शकेल; काही सूचना?,میں جڑی بوٹیوں والی چائے یا قدرتی علاج کی تلاش کر رہا ہوں جو میری مدت کے دوران مجھے بہتر محسوس کرنے میں مدد فراہم کرسکتا ہے۔ کوئی تجاویز؟,నా కాలంలో నాకు మంచి అనుభూతిని కలిగించే మూలికా టీలు లేదా సహజ నివారణల కోసం నేను చూస్తున్నాను; ఏదైనా సూచనలు ఉన్నాయా?,TRUE,low energy,negative,Tamil
